"1:1,0.45","5:3,0.63","9:9,0.55","21:5,0.44","23:2,0.33","26:7,0.68","36:8,0.34","39:8,0.66","42:1,0.68","50:4,0.73","56:5,0.56","57:6,0.44","67:7,0.41","71:2,0.61","79:6,0.34","88:9,0.63","90:9,0.63","94:7,0.82","97:1,0.68","104:6,0.45","113:1,0.51","120:2,0.51","128:2,0.76"
"1:6,0.38","5:6,0.63","9:3,0.8","21:8,0.89","23:8,0.68","26:3,0.34","36:8,0.32","39:4,0.33","42:4,0.83","50:6,0.86","56:9,0.54","57:9,0.58","67:1,0.75","71:4,0.47","79:1,0.82","88:6,0.46","90:6,0.56","94:7,0.75","97:7,0.5","104:3,0.6","108:8,0.52","120:9,0.46","128:2,0.74"
"1:2,0.56","5:3,0.63","9:6,0.36","21:6,0.7","23:5,0.57","26:7,0.4","36:8,0.51","39:1,0.74","42:6,0.67","44:7,0.46","56:1,0.35","57:7,0.52","67:3,0.87","71:3,0.81","79:8,0.32","88:2,0.44","90:6,0.52","94:1,0.66","97:8,0.87","104:6,0.57","113:2,0.64","120:9,0.52","128:6,0.69"
"1:4,0.88","5:1,0.74","9:8,0.61","21:9,0.37","23:5,0.72","26:4,0.9","36:5,0.72","39:8,0.42","42:3,0.81","44:8,0.4","56:8,0.9","57:6,0.7","67:2,0.63","71:5,0.83","79:3,0.73","88:3,0.78","90:9,0.43","94:4,0.78","97:4,0.77","104:1,0.52","108:6,0.58","120:9,0.38","128:2,0.34"
"1:7,0.9","5:8,0.62","9:7,0.79","22:2,0.38","23:6,0.69","25:8,0.58","36:9,0.51","39:9,0.68","42:3,0.76","53:3,0.56","56:1,0.8","57:9,0.39","67:3,0.4","71:4,0.51","79:9,0.84","88:2,0.45","90:9,0.46","94:5,0.67","97:2,0.6","104:3,0.66","113:3,0.4","120:6,0.81","128:1,0.8"
"1:1,0.35","5:5,0.69","9:7,0.67","22:1,0.6","23:9,0.47","25:5,0.59","36:7,0.48","39:2,0.71","42:3,0.56","53:8,0.58","56:6,0.66","57:6,0.82","67:6,0.74","71:6,0.89","79:3,0.76","88:9,0.64","90:6,0.45","94:2,0.46","97:4,0.38","104:1,0.47","108:7,0.82","120:7,0.45","128:3,0.79"
"1:6,0.41","5:3,0.6","9:9,0.58","22:5,0.6","23:2,0.87","25:9,0.57","36:4,0.43","39:6,0.33","42:5,0.6","50:8,0.47","56:1,0.81","57:7,0.38","67:5,0.74","71:7,0.52","79:7,0.33","88:9,0.42","90:9,0.47","94:7,0.6","97:9,0.47","104:2,0.38","113:2,0.54","120:6,0.63","128:6,0.75"
"1:4,0.66","5:7,0.6","9:1,0.32","22:6,0.78","23:9,0.57","25:9,0.38","36:6,0.4","39:5,0.66","42:9,0.8","50:9,0.59","56:5,0.58","57:1,0.52","67:2,0.89","71:5,0.78","79:1,0.66","88:5,0.88","90:4,0.73","94:8,0.4","97:7,0.39","104:4,0.32","108:2,0.41","120:8,0.49","128:3,0.55"
"1:4,0.55","5:8,0.82","9:1,0.72","22:9,0.42","23:6,0.9","25:8,0.62","36:6,0.87","39:8,0.85","42:6,0.63","44:5,0.67","56:4,0.87","57:5,0.63","67:4,0.86","71:5,0.76","79:4,0.71","88:8,0.49","90:6,0.64","94:5,0.47","97:9,0.53","104:7,0.79","113:3,0.47","120:5,0.87","128:2,0.51"
"1:8,0.69","5:8,0.43","9:9,0.46","22:9,0.72","23:3,0.37","25:4,0.45","36:9,0.44","39:4,0.33","42:7,0.5","44:8,0.36","56:3,0.3","57:9,0.89","67:3,0.54","71:8,0.59","79:4,0.75","88:5,0.49","90:1,0.84","94:2,0.69","97:4,0.62","104:1,0.85","108:3,0.55","120:3,0.86","128:1,0.9"
"1:7,0.77","5:3,0.86","9:5,0.83","22:1,0.48","23:2,0.86","26:6,0.47","36:9,0.61","39:3,0.81","42:8,0.46","53:2,0.5","56:8,0.69","57:3,0.31","67:6,0.77","71:4,0.41","79:7,0.8","88:9,0.5","90:7,0.7","94:3,0.89","97:8,0.49","104:4,0.3","113:7,0.44","120:5,0.87","128:5,0.65"
"1:1,0.46","5:6,0.72","9:1,0.7","22:8,0.48","23:7,0.71","26:5,0.71","36:5,0.52","39:4,0.43","42:3,0.59","53:8,0.75","56:6,0.55","57:9,0.85","67:9,0.78","71:4,0.76","79:2,0.62","88:9,0.72","90:2,0.85","94:2,0.34","97:9,0.84","104:4,0.64","108:3,0.4","120:9,0.57","128:4,0.73"
"1:8,0.35","5:9,0.57","9:1,0.57","22:9,0.55","23:1,0.64","26:5,0.73","36:7,0.45","39:1,0.75","42:2,0.33","50:6,0.72","56:9,0.9","57:2,0.89","67:8,0.32","71:7,0.41","79:3,0.76","88:7,0.52","90:7,0.57","94:7,0.53","97:9,0.38","104:6,0.37","113:9,0.54","120:3,0.74","128:4,0.8"
"1:1,0.89","5:8,0.7","9:9,0.55","22:7,0.79","23:4,0.58","26:3,0.47","36:2,0.32","39:7,0.67","42:1,0.44","50:2,0.36","56:1,0.57","57:1,0.45","67:1,0.54","71:4,0.62","79:1,0.38","88:5,0.44","90:6,0.65","94:6,0.44","97:3,0.89","104:9,0.43","108:5,0.47","120:9,0.87","128:3,0.68"
"1:7,0.63","5:1,0.88","9:7,0.77","22:6,0.72","23:7,0.39","26:7,0.41","36:9,0.58","39:4,0.48","42:3,0.78","44:1,0.64","56:7,0.63","57:3,0.53","67:5,0.42","71:2,0.85","79:6,0.36","88:4,0.33","90:7,0.7","94:1,0.82","97:4,0.78","104:9,0.43","113:4,0.82","120:6,0.48","128:1,0.43"
"1:4,0.88","5:2,0.75","9:8,0.85","22:4,0.54","23:4,0.63","26:5,0.53","36:9,0.69","39:5,0.46","42:9,0.83","44:8,0.36","56:8,0.76","57:6,0.85","67:6,0.49","71:1,0.64","79:4,0.74","88:1,0.46","90:7,0.48","94:4,0.5","97:7,0.64","104:4,0.6","108:6,0.45","120:8,0.88","128:8,0.58"
"1:6,0.4","6:9,0.59","12:9,0.89","21:1,0.61","23:2,0.87","25:1,0.76","36:7,0.38","39:4,0.34","42:3,0.31","53:9,0.57","56:1,0.67","57:8,0.7","67:1,0.3","71:9,0.55","79:1,0.62","88:5,0.62","90:5,0.31","94:7,0.78","97:3,0.36","104:2,0.61","113:4,0.42","120:9,0.45","128:6,0.46"
"1:7,0.35","6:7,0.58","12:4,0.89","21:4,0.48","23:2,0.69","25:1,0.36","36:7,0.53","39:8,0.33","42:1,0.72","53:2,0.6","56:7,0.69","57:6,0.64","67:2,0.84","71:1,0.44","79:8,0.46","88:2,0.71","90:5,0.84","94:1,0.41","97:6,0.31","104:4,0.65","108:7,0.86","120:5,0.4","128:4,0.64"
"1:7,0.71","6:9,0.5","12:3,0.77","21:2,0.6","23:6,0.33","25:7,0.44","36:2,0.5","39:7,0.88","42:6,0.32","50:5,0.77","56:8,0.59","57:6,0.63","67:7,0.56","71:7,0.35","79:5,0.78","88:2,0.35","90:3,0.53","94:3,0.74","97:6,0.52","104:2,0.3","113:5,0.57","120:5,0.36","128:2,0.41"
"1:8,0.63","6:9,0.54","12:1,0.35","21:9,0.36","23:6,0.82","25:1,0.48","36:7,0.77","39:9,0.84","42:4,0.64","50:3,0.71","56:3,0.38","57:5,0.46","67:3,0.34","71:7,0.47","79:5,0.59","88:2,0.52","90:4,0.73","94:8,0.66","97:4,0.57","104:3,0.48","108:7,0.5","120:7,0.78","128:6,0.56"
"1:7,0.79","6:3,0.48","12:4,0.59","21:3,0.88","23:6,0.47","25:8,0.88","36:4,0.5","39:5,0.79","42:7,0.52","44:4,0.66","56:9,0.41","57:9,0.32","67:8,0.87","71:4,0.56","79:5,0.8","88:2,0.79","90:7,0.7","94:3,0.68","97:4,0.45","104:3,0.73","113:7,0.34","120:8,0.65","128:9,0.6"
"1:7,0.63","6:6,0.72","12:9,0.66","21:2,0.37","23:4,0.69","25:6,0.4","36:1,0.64","39:7,0.88","42:6,0.88","44:7,0.36","56:2,0.46","57:9,0.75","67:9,0.65","71:4,0.57","79:7,0.58","88:9,0.39","90:1,0.59","94:5,0.55","97:2,0.37","104:3,0.51","108:6,0.57","120:4,0.61","128:6,0.59"
"1:8,0.73","6:8,0.49","12:5,0.33","21:2,0.31","23:6,0.69","26:3,0.86","36:4,0.61","39:9,0.4","42:9,0.56","53:8,0.44","56:7,0.68","57:3,0.68","67:7,0.54","71:4,0.57","79:7,0.53","88:4,0.42","90:2,0.65","94:9,0.41","97:6,0.42","104:2,0.46","113:8,0.62","120:6,0.66","128:7,0.65"
"1:6,0.51","6:8,0.67","12:5,0.85","21:2,0.7","23:6,0.37","26:5,0.37","36:6,0.72","39:9,0.53","42:3,0.64","53:7,0.41","56:9,0.72","57:3,0.63","67:8,0.47","71:3,0.49","79:8,0.67","88:6,0.87","90:8,0.38","94:7,0.88","97:9,0.69","104:7,0.71","108:7,0.73","120:8,0.59","128:2,0.64"
"1:4,0.48","6:5,0.43","12:5,0.4","21:8,0.64","23:8,0.63","26:2,0.64","36:5,0.77","39:6,0.63","42:1,0.76","50:8,0.63","56:7,0.36","57:4,0.48","67:1,0.57","71:6,0.82","79:2,0.56","88:2,0.77","90:4,0.43","94:6,0.82","97:7,0.4","104:3,0.77","113:4,0.78","120:6,0.62","128:9,0.4"
"1:5,0.47","6:5,0.87","12:9,0.89","21:2,0.38","23:7,0.85","26:5,0.82","36:3,0.72","39:3,0.45","42:6,0.8","50:7,0.59","56:5,0.68","57:7,0.57","67:2,0.54","71:5,0.72","79:6,0.57","88:8,0.5","90:1,0.82","94:2,0.74","97:8,0.68","104:6,0.81","108:9,0.54","120:7,0.79","128:8,0.46"
"1:5,0.5","6:3,0.64","12:8,0.77","21:1,0.33","23:8,0.31","26:3,0.56","36:1,0.9","39:7,0.42","42:3,0.83","44:5,0.4","56:5,0.36","57:6,0.45","67:6,0.7","71:3,0.33","79:5,0.74","88:4,0.56","90:2,0.72","94:1,0.43","97:2,0.38","104:4,0.61","113:8,0.31","120:6,0.79","128:7,0.72"
"1:8,0.34","6:7,0.35","12:2,0.36","21:6,0.83","23:3,0.53","26:3,0.68","36:3,0.34","39:1,0.67","42:3,0.56","44:4,0.68","56:3,0.85","57:8,0.82","67:2,0.84","71:3,0.75","79:7,0.51","88:7,0.49","90:3,0.45","94:2,0.45","97:5,0.77","104:1,0.81","108:5,0.42","120:9,0.41","128:7,0.48"
"1:1,0.77","6:4,0.6","12:2,0.44","22:2,0.62","23:1,0.89","25:6,0.38","36:7,0.52","39:3,0.76","42:2,0.31","53:2,0.31","56:4,0.32","57:1,0.87","67:7,0.6","71:9,0.76","79:7,0.72","88:2,0.68","90:9,0.67","94:5,0.35","97:2,0.61","104:4,0.88","113:3,0.62","120:7,0.65","128:2,0.49"
"1:7,0.74","6:4,0.33","12:2,0.85","22:2,0.57","23:1,0.49","25:3,0.37","36:3,0.72","39:3,0.6","42:6,0.61","53:5,0.4","56:3,0.75","57:5,0.74","67:2,0.76","71:1,0.5","79:7,0.46","88:2,0.46","90:2,0.6","94:9,0.52","97:8,0.82","104:3,0.52","108:5,0.76","120:2,0.44","128:9,0.3"
"1:1,0.45","6:8,0.52","12:3,0.41","22:1,0.63","23:7,0.43","25:4,0.55","36:6,0.46","39:2,0.64","42:2,0.6","50:1,0.41","56:9,0.89","57:7,0.34","67:8,0.82","71:5,0.5","79:9,0.57","88:6,0.42","90:5,0.74","94:4,0.58","97:8,0.9","104:4,0.74","113:9,0.76","120:4,0.39","128:7,0.31"
"1:9,0.51","6:1,0.87","12:1,0.76","22:7,0.81","23:5,0.36","25:9,0.89","36:7,0.6","39:1,0.88","42:3,0.73","50:2,0.33","56:4,0.84","57:9,0.55","67:6,0.58","71:2,0.65","79:9,0.38","88:7,0.34","90:1,0.56","94:3,0.44","97:5,0.81","104:7,0.72","108:6,0.49","120:5,0.44","128:4,0.38"
"1:2,0.39","6:3,0.57","12:6,0.54","22:9,0.51","23:4,0.57","25:8,0.46","36:2,0.35","39:5,0.8","42:1,0.43","44:6,0.39","56:4,0.88","57:7,0.61","67:5,0.46","71:3,0.32","79:7,0.81","88:9,0.75","90:4,0.36","94:2,0.78","97:3,0.37","104:1,0.8","113:4,0.38","120:7,0.52","128:2,0.65"
"1:5,0.85","6:2,0.31","12:2,0.42","22:8,0.79","23:2,0.84","25:6,0.37","36:8,0.33","39:7,0.79","42:7,0.6","44:7,0.71","56:3,0.51","57:3,0.46","67:8,0.83","71:1,0.67","79:4,0.69","88:8,0.55","90:9,0.59","94:2,0.47","97:3,0.55","104:9,0.45","108:9,0.78","120:7,0.77","128:6,0.59"
"1:8,0.51","6:9,0.49","12:5,0.41","22:6,0.66","23:1,0.84","26:5,0.34","36:8,0.62","39:4,0.88","42:2,0.45","53:4,0.46","56:1,0.76","57:4,0.65","67:7,0.51","71:3,0.41","79:6,0.78","88:6,0.85","90:1,0.72","94:6,0.87","97:3,0.64","104:4,0.8","113:8,0.63","120:3,0.59","128:2,0.33"
"1:4,0.31","6:8,0.3","12:4,0.78","22:6,0.73","23:6,0.34","26:3,0.65","36:3,0.76","39:9,0.82","42:2,0.52","53:7,0.65","56:6,0.48","57:3,0.89","67:7,0.78","71:8,0.69","79:3,0.72","88:9,0.72","90:6,0.43","94:3,0.53","97:5,0.38","104:1,0.87","108:7,0.81","120:1,0.41","128:6,0.85"
"1:4,0.68","6:2,0.86","12:3,0.5","22:2,0.44","23:6,0.4","26:2,0.79","36:6,0.57","39:5,0.43","42:2,0.51","50:2,0.73","56:1,0.53","57:7,0.88","67:7,0.6","71:7,0.51","79:7,0.36","88:8,0.77","90:4,0.4","94:2,0.78","97:1,0.48","104:6,0.46","113:2,0.34","120:3,0.83","128:3,0.74"
"1:9,0.87","6:2,0.5","12:8,0.72","22:7,0.87","23:3,0.66","26:7,0.39","36:2,0.5","39:4,0.55","42:9,0.73","50:9,0.46","56:5,0.48","57:2,0.33","67:9,0.8","71:3,0.33","79:1,0.56","88:5,0.79","90:8,0.42","94:1,0.42","97:5,0.89","104:8,0.81","108:5,0.77","120:8,0.59","128:5,0.35"
"1:9,0.53","6:6,0.83","12:6,0.41","22:1,0.46","23:8,0.46","26:5,0.64","36:3,0.75","39:2,0.35","42:6,0.78","44:7,0.88","56:4,0.63","57:7,0.79","67:7,0.88","71:8,0.64","79:4,0.59","88:2,0.54","90:1,0.6","94:9,0.78","97:3,0.37","104:8,0.4","113:3,0.88","120:4,0.38","128:7,0.35"
"1:7,0.42","6:3,0.8","12:5,0.49","22:2,0.35","23:9,0.54","26:6,0.81","36:9,0.57","39:1,0.77","42:9,0.77","44:2,0.55","56:3,0.64","57:2,0.85","67:2,0.77","71:9,0.83","79:7,0.46","88:8,0.64","90:8,0.32","94:5,0.54","97:7,0.32","104:6,0.71","108:1,0.75","120:5,0.84","128:1,0.5"
"1:5,0.49","6:8,0.81","9:2,0.88","21:4,0.38","23:8,0.76","25:6,0.46","36:7,0.66","39:2,0.41","42:4,0.85","53:7,0.74","56:9,0.82","57:1,0.61","67:3,0.34","71:9,0.54","79:9,0.83","88:1,0.4","90:4,0.8","94:4,0.32","97:1,0.85","104:4,0.46","113:8,0.6","120:2,0.71","128:4,0.52"
"1:8,0.41","6:8,0.65","9:6,0.51","21:5,0.75","23:2,0.47","25:7,0.33","36:4,0.81","39:4,0.71","42:5,0.69","53:9,0.31","56:1,0.58","57:3,0.69","67:1,0.43","71:5,0.73","79:5,0.55","88:7,0.81","90:8,0.45","94:8,0.48","97:9,0.79","104:7,0.65","108:1,0.61","120:6,0.64","128:5,0.48"
"1:2,0.59","6:6,0.89","9:6,0.82","21:5,0.69","23:5,0.41","25:9,0.76","36:1,0.78","39:7,0.7","42:3,0.73","50:8,0.9","56:5,0.84","57:7,0.53","67:1,0.65","71:4,0.51","79:4,0.71","88:8,0.84","90:6,0.6","94:3,0.8","97:9,0.41","104:2,0.58","113:5,0.74","120:9,0.76","128:3,0.87"
