"1:4,0.56","3:9,0.43","5:3,0.85","7:3,0.34","9:3,0.78","12:5,0.56","13:8,0.71","16:7,0.87","17:9,0.62","19:8,0.35","21:1,0.83","24:6,0.66","25:1,0.35","27:1,0.9","29:5,0.65","31:3,0.58","34:8,0.85","36:3,0.9","38:7,0.68","40:8,0.88","42:8,0.51","44:6,0.49","46:2,0.81","48:6,0.55","50:8,0.47","52:7,0.79","54:9,0.32","56:2,0.49","58:6,0.37","60:7,0.82","62:1,0.69","64:9,0.58","66:1,0.41","68:6,0.67","70:8,0.68","72:1,0.42","74:9,0.38"
"1:5,0.56","3:8,0.37","5:4,0.73","7:5,0.63","9:9,0.54","11:4,0.9","13:2,0.58","15:2,0.69","17:3,0.6","20:5,0.61","21:5,0.55","24:8,0.89","25:4,0.57","27:3,0.53","29:9,0.75","31:3,0.82","34:5,0.76","36:7,0.5","38:9,0.46","40:1,0.47","42:5,0.8","44:8,0.82","47:8,0.62","48:6,0.5","50:9,0.53","52:6,0.82","54:4,0.64","56:4,0.81","58:7,0.33","60:8,0.72","62:7,0.53","64:3,0.6","66:1,0.38","68:6,0.82","70:8,0.36","72:8,0.31","74:3,0.55"
"1:3,0.34","3:5,0.5","5:7,0.69","7:6,0.81","9:9,0.53","11:6,0.68","13:8,0.82","15:1,0.67","17:4,0.68","20:5,0.9","21:2,0.56","24:2,0.76","25:2,0.57","27:5,0.84","29:1,0.49","31:1,0.48","34:6,0.56","36:4,0.62","38:3,0.4","40:2,0.67","42:7,0.67","44:4,0.6","47:3,0.44","48:5,0.58","50:1,0.84","52:8,0.84","54:9,0.39","56:8,0.87","58:5,0.68","60:7,0.71","62:8,0.81","65:4,0.9","66:8,0.36","68:7,0.64","70:5,0.9","72:5,0.31","74:7,0.46"
"1:1,0.85","3:8,0.8","5:5,0.77","7:4,0.66","9:6,0.43","11:4,0.67","13:3,0.68","15:1,0.49","17:8,0.32","20:6,0.74","21:2,0.85","24:6,0.75","25:3,0.42","27:9,0.83","29:6,0.62","31:5,0.8","34:5,0.85","36:8,0.88","38:5,0.75","40:6,0.78","43:8,0.88","44:3,0.75","47:4,0.82","48:7,0.88","50:9,0.52","52:7,0.31","54:9,0.37","56:6,0.7","58:5,0.65","60:6,0.37","62:4,0.58","65:9,0.5","66:4,0.69","68:8,0.85","70:5,0.69","72:2,0.38","74:1,0.48"
"1:8,0.37","3:4,0.83","5:3,0.53","7:6,0.7","9:9,0.55","12:3,0.83","13:2,0.8","15:7,0.86","17:5,0.32","20:6,0.43","21:8,0.87","24:6,0.36","25:6,0.63","27:6,0.34","29:5,0.41","31:2,0.87","34:8,0.36","36:4,0.69","38:1,0.33","40:6,0.45","42:3,0.77","44:4,0.34","47:9,0.42","48:4,0.79","50:4,0.5","52:3,0.77","54:1,0.47","56:3,0.89","58:9,0.45","60:3,0.37","62:1,0.38","65:6,0.77","66:4,0.65","68:1,0.4","70:1,0.38","72:7,0.62","74:2,0.59"
"1:6,0.61","3:2,0.57","5:4,0.87","7:1,0.74","9:9,0.48","12:1,0.34","13:8,0.81","15:7,0.71","17:8,0.73","19:8,0.34","21:2,0.49","24:3,0.34","25:5,0.67","27:9,0.73","29:7,0.9","31:9,0.48","34:9,0.66","36:2,0.78","38:2,0.81","40:9,0.73","42:4,0.56","44:4,0.55","46:8,0.54","48:2,0.49","51:6,0.7","52:6,0.87","54:8,0.34","56:2,0.36","58:2,0.75","60:6,0.79","62:9,0.34","64:9,0.64","66:2,0.55","68:7,0.82","70:1,0.88","72:5,0.51","74:9,0.43"
"1:8,0.43","3:2,0.51","5:9,0.52","7:5,0.64","9:7,0.81","11:9,0.32","13:5,0.32","15:5,0.72","17:5,0.85","19:6,0.3","21:3,0.64","24:7,0.34","25:1,0.36","27:9,0.43","29:7,0.57","31:3,0.52","34:6,0.77","36:2,0.83","38:3,0.39","40:1,0.7","42:5,0.57","44:7,0.59","46:8,0.55","48:4,0.75","51:2,0.51","52:2,0.47","54:8,0.62","56:5,0.33","58:7,0.89","60:1,0.3","62:5,0.87","65:3,0.76","66:5,0.5","68:1,0.6","70:7,0.41","72:7,0.62","74:4,0.6"
"1:6,0.34","3:1,0.56","5:8,0.85","7:6,0.65","9:7,0.73","12:7,0.47","13:7,0.31","16:6,0.4","17:8,0.8","19:6,0.35","21:2,0.45","24:7,0.61","25:7,0.82","27:6,0.43","29:3,0.35","31:2,0.62","34:4,0.84","36:6,0.51","38:3,0.44","40:3,0.45","42:3,0.66","44:2,0.41","46:8,0.58","48:8,0.71","51:6,0.82","52:6,0.39","54:2,0.58","56:5,0.78","58:1,0.51","60:2,0.49","62:8,0.32","64:6,0.8","66:2,0.69","68:2,0.67","70:9,0.53","72:9,0.87","74:1,0.57"
"1:4,0.49","3:8,0.6","5:1,0.57","7:6,0.89","9:2,0.6","11:3,0.32","13:8,0.89","15:9,0.61","17:3,0.52","20:5,0.53","21:6,0.71","24:1,0.77","25:6,0.34","27:2,0.63","29:7,0.47","31:3,0.5","34:3,0.85","36:5,0.88","38:7,0.38","40:2,0.49","42:7,0.69","44:6,0.79","47:9,0.36","48:7,0.61","51:1,0.52","52:3,0.87","54:6,0.87","56:8,0.42","58:3,0.39","60:5,0.81","62:2,0.6","64:9,0.8","66:9,0.32","68:6,0.83","70:3,0.66","72:3,0.4","74:3,0.73"
"1:1,0.55","3:4,0.88","5:5,0.75","7:8,0.44","9:4,0.49","11:8,0.84","13:4,0.52","15:8,0.58","17:5,0.77","20:9,0.62","21:3,0.79","24:3,0.82","25:1,0.68","27:6,0.63","29:2,0.73","31:9,0.81","34:5,0.35","36:3,0.46","38:9,0.39","40:7,0.36","42:4,0.79","44:6,0.86","47:7,0.33","48:9,0.52","51:7,0.9","52:6,0.43","54:6,0.86","56:6,0.77","58:3,0.32","60:8,0.72","62:3,0.76","65:8,0.57","66:1,0.84","68:1,0.45","70:3,0.63","72:9,0.55","74:5,0.44"
"1:2,0.33","3:7,0.68","5:8,0.34","7:8,0.66","9:1,0.68","11:4,0.73","13:5,0.56","15:6,0.44","17:7,0.41","20:2,0.61","21:6,0.34","24:9,0.63","25:9,0.63","27:7,0.82","29:1,0.68","31:6,0.45","34:1,0.51","36:2,0.51","38:2,0.76","40:6,0.38","43:6,0.63","44:3,0.8","47:8,0.89","48:8,0.68","51:3,0.34","52:8,0.32","54:4,0.33","56:4,0.83","58:6,0.86","60:9,0.54","62:9,0.58","65:1,0.75","66:4,0.47","68:1,0.82","70:6,0.46","72:6,0.56","74:7,0.75"
"1:7,0.5","3:3,0.6","5:8,0.52","7:9,0.46","9:2,0.74","12:2,0.56","13:3,0.63","15:6,0.36","17:6,0.7","20:5,0.57","21:7,0.4","24:8,0.51","25:1,0.74","27:6,0.67","29:7,0.46","31:1,0.35","34:7,0.52","36:3,0.87","38:3,0.81","40:8,0.32","42:2,0.44","44:6,0.52","47:1,0.66","48:8,0.87","51:6,0.57","52:2,0.64","54:9,0.52","56:6,0.69","58:4,0.88","60:1,0.74","62:8,0.61","65:9,0.37","66:5,0.72","68:4,0.9","70:5,0.72","72:8,0.42","74:3,0.81"
"1:8,0.4","3:8,0.9","5:6,0.7","7:2,0.63","9:5,0.83","11:3,0.73","13:3,0.78","15:9,0.43","17:4,0.78","19:4,0.77","21:1,0.52","24:6,0.58","25:9,0.38","27:2,0.34","29:7,0.9","32:8,0.62","34:7,0.79","36:2,0.38","38:6,0.69","40:8,0.58","42:9,0.51","44:9,0.68","46:3,0.76","48:3,0.56","50:1,0.8","52:9,0.39","54:3,0.4","56:4,0.51","58:9,0.84","60:2,0.45","62:9,0.46","64:5,0.67","66:2,0.6","68:3,0.66","70:3,0.4","72:6,0.81","74:1,0.8"
"1:1,0.35","3:5,0.69","5:7,0.67","7:1,0.6","9:9,0.47","11:5,0.59","13:7,0.48","15:2,0.71","17:3,0.56","19:8,0.58","21:6,0.66","24:6,0.82","25:6,0.74","27:6,0.89","29:3,0.76","32:9,0.64","34:6,0.45","36:2,0.46","38:4,0.38","40:1,0.47","42:7,0.82","44:7,0.45","46:3,0.79","48:6,0.41","50:3,0.6","52:9,0.58","54:5,0.6","56:2,0.87","58:9,0.57","60:4,0.43","62:6,0.33","65:5,0.6","66:8,0.47","68:1,0.81","70:7,0.38","72:5,0.74","74:7,0.52"
"1:7,0.33","3:9,0.42","5:9,0.47","7:7,0.6","9:9,0.47","11:2,0.38","13:2,0.54","15:6,0.63","17:6,0.75","19:4,0.66","21:7,0.6","24:1,0.32","25:6,0.78","27:9,0.57","29:9,0.38","32:6,0.4","34:5,0.66","36:9,0.8","38:9,0.59","40:5,0.58","43:1,0.52","44:2,0.89","46:5,0.78","48:1,0.66","50:5,0.88","52:4,0.73","54:8,0.4","56:7,0.39","58:4,0.32","60:2,0.41","62:8,0.49","65:3,0.55","66:4,0.55","68:8,0.82","70:1,0.72","72:9,0.42","74:6,0.9"
"1:8,0.62","3:6,0.87","5:8,0.85","7:6,0.63","9:5,0.67","11:4,0.87","13:5,0.63","16:4,0.86","17:5,0.76","19:4,0.71","21:8,0.49","24:6,0.64","25:5,0.47","27:9,0.53","29:7,0.79","32:3,0.47","34:5,0.87","36:2,0.51","38:8,0.69","40:8,0.43","42:9,0.46","44:9,0.72","46:3,0.37","48:4,0.45","50:9,0.44","52:4,0.33","54:7,0.5","56:8,0.36","58:3,0.3","60:9,0.89","62:3,0.54","64:8,0.59","66:4,0.75","68:5,0.49","70:1,0.84","72:2,0.69","74:4,0.62"
"1:1,0.85","3:3,0.55","5:3,0.86","7:1,0.9","9:7,0.77","12:3,0.86","13:5,0.83","16:1,0.48","17:2,0.86","19:6,0.47","21:9,0.61","24:3,0.81","25:8,0.46","27:2,0.5","29:8,0.69","32:3,0.31","34:6,0.77","36:4,0.41","38:7,0.8","40:9,0.5","42:7,0.7","44:3,0.89","46:8,0.49","48:4,0.3","50:7,0.44","52:5,0.87","54:5,0.65","56:1,0.46","58:6,0.72","60:1,0.7","62:8,0.48","64:7,0.71","66:5,0.71","68:5,0.52","70:4,0.43","72:3,0.59","74:8,0.75"
"1:6,0.55","3:9,0.85","5:9,0.78","7:4,0.76","9:2,0.62","11:9,0.72","13:2,0.85","15:2,0.34","17:9,0.84","20:4,0.64","21:3,0.4","24:9,0.57","25:4,0.73","27:8,0.35","29:9,0.57","32:1,0.57","34:9,0.55","36:1,0.64","38:5,0.73","40:7,0.45","42:1,0.75","44:2,0.33","47:6,0.72","48:9,0.9","50:2,0.89","52:8,0.32","54:7,0.41","56:3,0.76","58:7,0.52","60:7,0.57","62:7,0.53","64:9,0.38","66:6,0.37","68:9,0.54","70:3,0.74","72:4,0.8","74:1,0.89"
"1:8,0.7","3:9,0.55","5:7,0.79","7:4,0.58","9:3,0.47","11:2,0.32","13:7,0.67","15:1,0.44","17:2,0.36","19:1,0.57","21:1,0.45","24:1,0.54","25:4,0.62","27:1,0.38","29:5,0.44","32:6,0.65","34:6,0.44","36:3,0.89","38:9,0.43","40:5,0.47","42:9,0.87","44:3,0.68","46:7,0.63","48:1,0.88","51:7,0.77","52:6,0.72","54:7,0.39","56:7,0.41","58:9,0.58","60:4,0.48","62:3,0.78","64:1,0.64","66:7,0.63","68:3,0.53","70:5,0.42","72:2,0.85","74:6,0.36"
"1:4,0.33","3:7,0.7","5:1,0.82","7:4,0.78","9:9,0.43","11:4,0.82","13:6,0.48","15:1,0.43","17:4,0.88","19:2,0.75","21:8,0.85","24:4,0.54","25:4,0.63","27:5,0.53","29:9,0.69","32:5,0.46","34:9,0.83","36:8,0.36","38:8,0.76","40:6,0.85","42:6,0.49","44:1,0.64","46:4,0.74","48:1,0.46","51:7,0.48","52:4,0.5","54:7,0.64","56:4,0.6","58:6,0.45","60:8,0.88","62:8,0.58","65:6,0.4","66:9,0.59","68:9,0.89","70:1,0.61","72:2,0.87","74:1,0.76"
"1:7,0.38","3:4,0.34","5:3,0.31","7:9,0.57","9:1,0.67","11:8,0.7","13:1,0.3","15:9,0.55","17:1,0.62","19:5,0.62","21:5,0.31","24:7,0.78","25:3,0.36","27:2,0.61","29:4,0.42","32:9,0.45","34:6,0.46","36:7,0.35","38:7,0.58","40:4,0.89","43:4,0.48","44:2,0.69","46:1,0.36","48:7,0.53","51:8,0.33","52:1,0.72","54:2,0.6","56:7,0.69","58:6,0.64","60:2,0.84","62:1,0.44","65:8,0.46","66:2,0.71","68:5,0.84","70:1,0.41","72:6,0.31","74:4,0.65"
"1:7,0.86","3:5,0.4","5:4,0.64","7:7,0.71","9:9,0.5","11:3,0.77","13:2,0.6","15:6,0.33","17:7,0.44","20:2,0.5","21:7,0.88","24:6,0.32","25:5,0.77","27:8,0.59","29:6,0.63","32:7,0.56","34:7,0.35","36:5,0.78","38:2,0.35","40:3,0.53","42:3,0.74","44:6,0.52","47:2,0.3","48:5,0.57","51:5,0.36","52:2,0.41","54:8,0.63","56:9,0.54","58:1,0.35","60:9,0.36","62:6,0.82","64:1,0.48","66:7,0.77","68:9,0.84","70:4,0.64","72:3,0.71","74:3,0.38"
"1:5,0.46","3:3,0.34","5:7,0.47","7:5,0.59","9:2,0.52","11:4,0.73","13:8,0.66","15:4,0.57","17:3,0.48","19:7,0.5","21:7,0.78","24:6,0.56","25:7,0.79","27:3,0.48","29:4,0.59","32:3,0.88","34:6,0.47","36:8,0.88","38:4,0.5","40:5,0.79","42:7,0.52","44:4,0.66","46:9,0.41","48:9,0.32","50:8,0.87","52:4,0.56","54:5,0.8","56:2,0.79","58:7,0.7","60:3,0.68","62:4,0.45","64:3,0.73","66:7,0.34","68:8,0.65","70:9,0.6","73:7,0.63","74:6,0.72"
"1:9,0.66","3:2,0.37","5:4,0.69","7:6,0.4","9:1,0.64","11:7,0.88","13:6,0.88","15:7,0.36","17:2,0.46","19:9,0.75","21:9,0.65","24:4,0.57","25:7,0.58","27:9,0.39","29:1,0.59","32:5,0.55","34:2,0.37","36:3,0.51","38:6,0.57","40:4,0.61","42:6,0.59","44:8,0.73","46:8,0.49","48:5,0.33","50:2,0.31","52:6,0.69","54:3,0.86","56:4,0.61","58:9,0.4","60:9,0.56","62:8,0.44","65:7,0.68","66:3,0.68","68:7,0.54","70:4,0.57","73:7,0.53","74:4,0.42"
"1:2,0.65","3:9,0.41","5:6,0.42","7:2,0.46","9:8,0.62","11:6,0.66","13:7,0.65","16:6,0.51","17:8,0.67","19:5,0.85","21:2,0.7","24:6,0.37","25:5,0.37","27:6,0.72","29:9,0.53","32:3,0.64","34:7,0.41","36:9,0.72","38:3,0.63","40:8,0.47","42:3,0.49","44:8,0.67","46:6,0.87","48:8,0.38","50:7,0.88","52:9,0.69","54:7,0.71","56:7,0.73","58:8,0.59","60:2,0.64","62:4,0.48","64:5,0.43","66:5,0.4","68:8,0.64","70:8,0.63","73:2,0.64","74:5,0.77"
"1:6,0.63","3:1,0.76","5:8,0.63","7:7,0.36","9:4,0.48","12:1,0.57","13:6,0.82","16:2,0.56","17:2,0.77","19:4,0.43","21:6,0.82","24:7,0.4","25:3,0.77","27:4,0.78","29:6,0.62","32:9,0.4","34:5,0.47","36:5,0.87","38:9,0.89","40:2,0.38","42:7,0.85","44:5,0.82","46:3,0.72","48:3,0.45","50:6,0.8","52:7,0.59","54:5,0.68","56:7,0.57","58:2,0.54","60:5,0.72","62:6,0.57","64:8,0.5","66:1,0.82","68:2,0.74","70:8,0.68","73:6,0.81","74:9,0.54"
"1:7,0.79","3:8,0.46","5:5,0.5","7:3,0.64","9:8,0.77","12:1,0.33","13:8,0.31","16:3,0.56","17:1,0.9","19:7,0.42","21:3,0.83","24:5,0.4","25:5,0.36","27:6,0.45","29:6,0.7","32:3,0.33","34:5,0.74","36:4,0.56","38:2,0.72","40:1,0.43","43:2,0.38","44:4,0.61","46:8,0.31","48:6,0.79","50:7,0.72","52:8,0.34","54:7,0.35","56:2,0.36","58:6,0.83","60:3,0.53","62:3,0.68","64:3,0.34","66:1,0.67","68:3,0.56","70:4,0.68","73:3,0.85","74:8,0.82"
"1:2,0.84","3:3,0.75","5:7,0.51","7:7,0.49","9:3,0.45","11:2,0.45","13:5,0.77","15:1,0.81","17:5,0.42","20:9,0.41","21:7,0.48","24:1,0.77","25:4,0.6","27:2,0.44","29:2,0.62","32:1,0.89","34:6,0.38","36:7,0.52","38:3,0.76","40:2,0.31","42:2,0.31","44:4,0.32","47:1,0.87","48:7,0.6","50:9,0.76","52:7,0.72","54:2,0.68","56:9,0.67","58:5,0.35","60:2,0.61","62:4,0.88","64:3,0.62","66:7,0.65","68:2,0.49","70:7,0.74","73:4,0.33","74:2,0.85"
"1:2,0.57","3:1,0.49","5:3,0.37","7:3,0.72","9:3,0.6","11:6,0.61","13:5,0.4","15:3,0.75","17:5,0.74","19:2,0.76","21:1,0.5","24:7,0.46","25:2,0.46","27:2,0.6","29:9,0.52","32:8,0.82","34:3,0.52","36:5,0.76","38:2,0.44","40:9,0.3","42:1,0.45","44:8,0.52","46:3,0.41","48:1,0.63","51:7,0.43","52:4,0.55","54:6,0.46","56:2,0.64","58:2,0.6","60:1,0.41","62:9,0.89","65:7,0.34","66:8,0.82","68:5,0.5","70:9,0.57","73:6,0.42","74:5,0.74"
"1:4,0.58","3:8,0.9","5:4,0.74","7:9,0.76","9:4,0.39","11:7,0.31","13:9,0.51","15:1,0.87","17:1,0.76","20:7,0.81","21:5,0.36","24:9,0.89","25:7,0.6","27:1,0.88","29:3,0.73","32:2,0.33","34:4,0.84","36:9,0.55","38:6,0.58","40:2,0.65","42:9,0.38","44:7,0.34","47:1,0.56","48:3,0.44","51:5,0.81","52:7,0.72","54:6,0.49","56:5,0.44","58:4,0.38","60:2,0.39","62:3,0.57","64:6,0.54","66:9,0.51","68:4,0.57","70:8,0.46","73:2,0.35","74:5,0.8"
"1:1,0.43","4:6,0.39","5:4,0.88","7:7,0.61","9:5,0.46","11:3,0.32","13:7,0.81","15:9,0.75","17:4,0.36","19:2,0.78","21:3,0.37","24:1,0.8","25:4,0.38","27:7,0.52","29:2,0.65","31:5,0.85","34:2,0.31","36:2,0.42","38:8,0.79","40:2,0.84","42:6,0.37","44:8,0.33","46:7,0.79","48:7,0.6","50:7,0.71","52:3,0.51","54:3,0.46","56:8,0.83","58:1,0.67","60:4,0.69","62:8,0.55","65:9,0.59","66:2,0.47","68:3,0.55","70:9,0.45","72:9,0.78","74:7,0.77"
"1:6,0.59","4:8,0.51","5:9,0.49","7:5,0.41","9:6,0.66","11:1,0.84","13:5,0.34","15:8,0.62","17:4,0.88","19:2,0.45","21:4,0.46","24:1,0.76","25:4,0.65","27:7,0.51","29:3,0.41","31:6,0.78","34:6,0.85","36:1,0.72","38:6,0.87","40:3,0.64","42:4,0.8","44:8,0.63","46:3,0.59","48:2,0.33","51:4,0.31","52:8,0.3","54:4,0.78","56:6,0.73","58:6,0.34","60:3,0.65","62:3,0.76","64:9,0.82","66:2,0.52","68:7,0.65","70:6,0.48","72:3,0.89","74:7,0.78"
"1:8,0.69","4:3,0.72","5:9,0.72","7:6,0.43","9:3,0.53","11:5,0.38","13:1,0.87","15:7,0.81","17:1,0.41","19:6,0.85","21:4,0.68","24:2,0.86","25:3,0.5","27:2,0.44","29:6,0.4","31:2,0.79","34:6,0.57","36:5,0.43","38:2,0.51","40:2,0.73","42:1,0.53","44:7,0.88","46:7,0.6","48:7,0.51","51:7,0.36","52:8,0.77","54:4,0.4","56:2,0.78","58:1,0.48","60:6,0.46","62:2,0.34","65:3,0.83","66:3,0.74","68:9,0.87","70:2,0.5","72:8,0.72","74:7,0.87"
"1:3,0.66","4:7,0.39","5:2,0.5","7:4,0.55","9:9,0.73","11:9,0.46","13:5,0.48","15:2,0.33","17:9,0.8","19:3,0.33","21:1,0.56","24:5,0.79","25:8,0.42","27:1,0.42","29:5,0.89","31:8,0.81","34:5,0.77","36:8,0.59","38:5,0.35","40:9,0.53","42:6,0.83","44:6,0.41","46:1,0.46","48:8,0.46","51:5,0.64","52:3,0.75","54:2,0.35","56:6,0.78","58:7,0.88","60:4,0.63","63:7,0.79","64:7,0.88","66:8,0.64","68:4,0.59","70:2,0.54","72:1,0.6","74:9,0.78"
"1:3,0.37","4:8,0.4","5:3,0.88","7:4,0.38","9:7,0.35","12:7,0.42","13:3,0.8","16:5,0.49","17:2,0.35","19:9,0.54","21:6,0.81","24:9,0.57","25:1,0.77","27:9,0.77","29:2,0.55","31:3,0.64","34:2,0.85","36:2,0.77","38:9,0.83","40:7,0.46","43:8,0.64","44:8,0.32","46:5,0.54","48:7,0.32","51:6,0.71","52:1,0.75","54:5,0.84","56:1,0.5","58:5,0.49","60:8,0.81","62:2,0.88","64:4,0.38","66:8,0.76","68:6,0.46","70:7,0.66","72:2,0.41","74:4,0.85"
"1:7,0.74","4:9,0.82","5:1,0.61","7:3,0.34","9:9,0.54","11:9,0.83","13:1,0.4","15:4,0.8","17:4,0.32","19:1,0.85","21:4,0.46","24:8,0.6","25:2,0.71","27:4,0.52","29:8,0.41","31:8,0.65","34:6,0.51","36:5,0.75","38:2,0.47","40:7,0.33","42:4,0.81","44:4,0.71","46:5,0.69","48:9,0.31","50:1,0.58","52:3,0.69","54:1,0.43","56:5,0.73","58:5,0.55","60:7,0.81","62:8,0.45","65:8,0.48","66:9,0.79","68:7,0.65","70:1,0.61","73:6,0.64","74:5,0.48"
